cup_game_date,cup_stage,cup_round,cup_section,cup_leg_no,decider,cup_outcome,agg_outcome,agg_score,agg_gf,agg_ga,gg_outcome,away_goal_outcome,pens_outcome,pens_score,pens_gf,pens_ga,game_length,outcome_desc,is_qualifying_round,is_group_stage,is_multi_leg,is_replay,is_extra_time,is_golden_goal,is_pen_shootout,is_play_off
1985-01-23,1st Round - Northern Section,1,Northern,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1985-01-29,1st Round - Northern Section,1,Northern,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1985-03-19,2nd Round - Northern Section,2,Northern,,pens,W,,,,,,,W,5-4,5.0,4.0,120,Won 5-4 on pens,0,0,0,0,1,0,1,0
1985-04-11,Quarter-Final - Northern Section,QF,Northern,,,,,,,,,,,,,,90,,1,0,0,0,0,0,0,0
1985-08-28,1st Round 1st Leg,1,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1985-09-04,1st Round 2nd Leg,1,,2.0,agg,L,L,1-3,1.0,3.0,,,,,,,90,Lost 3-1 on agg,0,0,1,0,0,0,0,0
1985-11-16,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1985-11-19,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1985-12-07,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1985-12-10,2nd Round Replay,2,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1986-01-20,Preliminary Round - Northern Section - Group 5,P,Northern,,,,,,,,,,,,,,90,,0,1,0,0,0,0,0,0
1986-02-26,Preliminary Round - Northern Section - Group 5,P,Northern,,,,,,,,,,,,,,90,,0,1,0,0,0,0,0,0
1986-03-11,Quarter-Final - Northern Section,QF,Northern,,,,,,,,,,,,,,90,,1,0,0,0,0,0,0,0
1986-08-26,1st Round 1st Leg,1,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1986-09-02,1st Round 2nd Leg,1,,2.0,agg,L,L,4-5,4.0,5.0,,,,,,,90,Lost 4-5 on agg,0,0,1,0,0,0,0,0
1986-11-15,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1986-11-25,Preliminary Round - Northern Section - Group 5,P,Northern,,,,,,,,,,,,,,90,,0,1,0,0,0,0,0,0
1986-12-06,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1987-02-03,Preliminary Round - Northern Section - Group 5,P,Northern,,,,,,,,,,,,,,90,,0,1,0,0,0,0,0,0
1987-08-18,1st Round 1st Leg,1,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
