game_date,player_id,player_name,card_type,card_min
1997-02-07,RogersAlan19770103,Alan Rogers,yellow,
1997-02-07,ThornAndy19661112,Andy Thorn,yellow,
1997-02-07,ThomasMooreIan19760826,Ian Thomas-Moore,yellow,
1997-02-07,IronsKenny19701104,Kenny Irons,yellow,
1997-02-07,NevinPat19630906,Pat Nevin,yellow,
1997-02-07,NevinPat19630906,Pat Nevin,red,88
1997-02-07,CookPaul19670222,Paul Cook,yellow,
1997-03-04,ThornAndy19661112,Andy Thorn,yellow,
1997-03-04,BrannanGed19720115,Ged Brannan,yellow,
1997-03-08,JonesGary19750510,Gary Jones,yellow,
1997-03-15,RogersAlan19770103,Alan Rogers,yellow,
1997-03-18,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1997-03-22,McGrealJohn19720602,John McGreal,yellow,
1997-03-22,ThomasTony19710712,Tony Thomas,yellow,
1997-03-28,BranchGraham19720212,Graham Branch,yellow,
1997-03-31,McGrealJohn19720602,John McGreal,yellow,
1997-04-12,NixonEric19621004,Eric Nixon,yellow,
1997-04-12,BranchGraham19720212,Graham Branch,yellow,
1997-04-12,ThomasTony19710712,Tony Thomas,yellow,
1997-04-19,JonesGary19750510,Gary Jones,yellow,
1997-04-19,IronsKenny19701104,Kenny Irons,yellow,
1997-04-26,ThornAndy19661112,Andy Thorn,yellow,
1997-04-26,JonesGary19750510,Gary Jones,yellow,
1997-04-26,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1997-04-26,IronsKenny19701104,Kenny Irons,yellow,
1997-05-04,McGrealJohn19720602,John McGreal,yellow,
1997-05-04,IronsKenny19701104,Kenny Irons,yellow,
1997-08-09,BranchGraham19720212,Graham Branch,yellow,
1997-08-15,KellyDavid19651125,David Kelly,yellow,
1997-08-22,ThornAndy19661112,Andy Thorn,yellow,
1997-08-30,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1997-09-02,OBrienLiam19640905,Liam O'Brien,yellow,
1997-09-07,ThompsonAndy19671109,Andy Thompson,yellow,
1997-09-13,ThompsonAndy19671109,Andy Thompson,yellow,
1997-09-13,KellyDavid19651125,David Kelly,yellow,
1997-09-16,ThompsonAndy19671109,Andy Thompson,yellow,
1997-09-16,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1997-09-23,ChallinorDave19751002,Dave Challinor,yellow,
1997-10-04,MahonAlan19780404,Alan Mahon,yellow,
1997-10-04,BranchGraham19720212,Graham Branch,yellow,
1997-10-18,MorganAlan19731102,Alan Morgan,yellow,
1997-10-22,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1997-10-25,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1997-10-25,IronsKenny19701104,Kenny Irons,yellow,
1997-11-01,ChallinorDave19751002,Dave Challinor,yellow,
1997-11-01,JonesGary19750510,Gary Jones,yellow,
1997-11-01,McGrealJohn19720602,John McGreal,yellow,
1997-11-04,BranchGraham19720212,Graham Branch,yellow,
1997-11-08,MahonAlan19780404,Alan Mahon,yellow,
1997-11-22,KellyDavid19651125,David Kelly,yellow,
1997-11-22,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1997-11-29,AldridgeJohn19580918,John Aldridge,yellow,
1997-11-29,IronsKenny19701104,Kenny Irons,yellow,
1997-11-29,OBrienLiam19640905,Liam O'Brien,yellow,
1997-12-06,MorganAlan19731102,Alan Morgan,yellow,
1997-12-06,IronsKenny19701104,Kenny Irons,yellow,
1997-12-06,JonesLee19730529,Lee Jones,yellow,
1997-12-13,ChallinorDave19751002,Dave Challinor,yellow,
1997-12-13,IronsKenny19701104,Kenny Irons,yellow,
1997-12-20,ThornAndy19661112,Andy Thorn,yellow,
1997-12-20,AldridgeJohn19580918,John Aldridge,yellow,
1997-12-26,McGrealJohn19720602,John McGreal,yellow,
1997-12-28,MorganAlan19731102,Alan Morgan,yellow,
1997-12-28,ThompsonAndy19671109,Andy Thompson,yellow,
1997-12-28,ThornAndy19661112,Andy Thorn,yellow,
1998-01-09,IronsKenny19701104,Kenny Irons,yellow,
1998-01-13,ParkinsonAndy19790527,Andy Parkinson,yellow,
1998-01-13,IronsKenny19701104,Kenny Irons,yellow,
1998-01-24,ParkinsonAndy19790527,Andy Parkinson,yellow,
1998-02-04,FrailStephen19690810,Stephen Frail,yellow,
1998-02-07,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1998-02-14,HillClint19781019,Clint Hill,yellow,
1998-02-14,McGrealJohn19720602,John McGreal,yellow,
1998-02-14,MellonMicky19720318,Micky Mellon,yellow,
1998-02-18,MorganAlan19731102,Alan Morgan,yellow,
1998-02-18,McGrealJohn19720602,John McGreal,yellow,
1998-02-18,SimonsenSteve19790403,Steve Simonsen,yellow,
1998-02-21,HillClint19781019,Clint Hill,yellow,
1998-02-21,IronsKenny19701104,Kenny Irons,yellow,
1998-02-28,MorganAlan19731102,Alan Morgan,yellow,
1998-03-14,ChallinorDave19751002,Dave Challinor,yellow,
1998-03-14,BranchGraham19720212,Graham Branch,yellow,
1998-03-14,BranchGraham19720212,Graham Branch,red,85
1998-04-03,McGrealJohn19720602,John McGreal,yellow,
1998-04-03,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1998-04-07,KubickiDariusz19630606,Dariusz Kubicki,yellow,
1998-04-07,ChallinorDave19751002,Dave Challinor,yellow,
1998-04-11,MorganAlan19731102,Alan Morgan,yellow,
1998-04-11,ChallinorDave19751002,Dave Challinor,yellow,
1998-04-11,SimonsenSteve19790403,Steve Simonsen,yellow,
1998-04-18,KubickiDariusz19630606,Dariusz Kubicki,yellow,
1998-04-18,JonesGary19750510,Gary Jones,yellow,
1998-04-18,MellonMicky19720318,Micky Mellon,yellow,
1998-04-25,HillClint19781019,Clint Hill,yellow,
1998-08-08,HillClint19781019,Clint Hill,yellow,
1998-08-08,HillClint19781019,Clint Hill,red,66
1998-08-08,McGrealJohn19720602,John McGreal,yellow,
1998-08-11,SantosGeorges19700815,Georges Santos,yellow,
1998-08-15,HillClint19781019,Clint Hill,yellow,
1998-08-18,MahonAlan19780404,Alan Mahon,yellow,
1998-08-18,HillClint19781019,Clint Hill,yellow,
1998-08-18,MellonMicky19720318,Micky Mellon,yellow,
1998-08-29,MorganAlan19731102,Alan Morgan,yellow,
1998-09-08,ThompsonAndy19671109,Andy Thompson,yellow,
1998-09-11,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1998-09-15,HillClint19781019,Clint Hill,yellow,
1998-09-15,KoumasJason19790925,Jason Koumas,yellow,
1998-09-15,JonesLee19730529,Lee Jones,yellow,
1998-09-19,SimonsenSteve19790403,Steve Simonsen,yellow,
1998-09-22,HillClint19781019,Clint Hill,yellow,
1998-09-25,McGrealJohn19720602,John McGreal,red,75
1998-09-29,HillClint19781019,Clint Hill,yellow,
1998-09-29,ChallinorDave19751002,Dave Challinor,yellow,
1998-09-29,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1998-10-10,TaylorScott19760505,Scott Taylor,yellow,
1998-10-17,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1998-10-24,KellyDavid19651125,David Kelly,yellow,
1998-10-27,JonesGary19750510,Gary Jones,yellow,
1998-10-27,SantosGeorges19700815,Georges Santos,yellow,
1998-10-27,KoumasJason19790925,Jason Koumas,yellow,
1998-10-31,McGrealJohn19720602,John McGreal,red,90
1998-11-07,SantosGeorges19700815,Georges Santos,yellow,
1998-11-07,AllenGraham19770408,Graham Allen,yellow,
1998-11-07,IronsKenny19701104,Kenny Irons,yellow,
1998-11-10,SantosGeorges19700815,Georges Santos,yellow,
1998-11-10,AllenGraham19770408,Graham Allen,yellow,
1998-11-14,HillClint19781019,Clint Hill,yellow,
1998-11-28,ThompsonAndy19671109,Andy Thompson,yellow,
1998-11-28,HillClint19781019,Clint Hill,yellow,
1998-11-28,AllenGraham19770408,Graham Allen,yellow,
1998-11-28,KoumasJason19790925,Jason Koumas,yellow,
1998-12-05,HillClint19781019,Clint Hill,yellow,
1998-12-05,ChallinorDave19751002,Dave Challinor,yellow,
1998-12-05,AllenGraham19770408,Graham Allen,yellow,
1998-12-08,MahonAlan19780404,Alan Mahon,yellow,
1998-12-08,ChallinorDave19751002,Dave Challinor,yellow,
1998-12-08,SantosGeorges19700815,Georges Santos,yellow,
1998-12-12,HillClint19781019,Clint Hill,yellow,
1998-12-12,SantosGeorges19700815,Georges Santos,yellow,
1998-12-12,KoumasJason19790925,Jason Koumas,yellow,
1998-12-26,SantosGeorges19700815,Georges Santos,yellow,
1998-12-28,HillClint19781019,Clint Hill,yellow,
1998-12-28,AllenGraham19770408,Graham Allen,yellow,
1999-01-02,IronsKenny19701104,Kenny Irons,yellow,
1999-01-08,SantosGeorges19700815,Georges Santos,yellow,
