game_date,player_on_id,player_off_id,sub_min,min_off,sub_reason
1976-01-17,KennyBilly19511023,PaliosMark19521109,,,
1976-01-31,YoungTommy19471224,PeplowSteve19490108,,,
1976-02-24,KennyBilly19511023,JamesJohn19481024,,,
1976-03-06,KennyBilly19511023,PaliosMark19521109,,,
1976-03-12,KennyBilly19511023,YoungTommy19471224,,,
1976-03-20,PaliosMark19521109,PhilpottsDave19540331,,,
1976-04-02,KennyBilly19511023,PeplowSteve19490108,,,
1976-04-06,AllenRussell19540109,MooreRonnie19530129,,,
1976-04-10,AllenRussell19540109,PeplowSteve19490108,,,
1976-04-26,YoungTommy19471224,JamesJohn19481024,,,
1976-08-27,PaliosMark19521109,JamesJohn19481024,,,
1976-09-07,PaliosMark19521109,AllenRussell19540109,,,
1976-09-18,PaliosMark19521109,KennyBilly19511023,,,
1976-10-02,PaliosMark19521109,ParryLes19531113,,,
1976-10-25,PeplowSteve19490108,KennyBilly19511023,,,
1976-11-20,KennyBilly19511023,MooreRonnie19530129,,,
1976-11-26,KennyBilly19511023,AllenRussell19540109,,,
1976-12-28,MooreRonnie19530129,YoungTommy19471224,,,
1977-01-07,KennyBilly19511023,PeplowSteve19490108,,,
1977-01-22,KennyBilly19511023,JohnsonDickie19530220,,,
1977-01-31,KennyBilly19511023,PaliosMark19521109,,,
1977-03-07,KennyBilly19511023,JamesJohn19481024,,,
1977-03-19,PaliosMark19521109,JamesJohn19481024,,,
1977-03-21,PeplowSteve19490108,AllenRussell19540109,,,
1977-03-25,KennyBilly19511023,CliffEddie19510930,,,
1977-03-28,KennyBilly19511023,CliffEddie19510930,,,
1977-04-02,CliffEddie19510930,JamesJohn19481024,,,
1977-04-12,CliffEddie19510930,JamesJohn19481024,,,
1977-04-16,BramhallJohn19561120,JamesJohn19481024,,,
1977-04-23,PeplowSteve19490108,CliffEddie19510930,,,
1977-05-14,PostlewhiteDennis19571013,FloodEddie19521119,,,
1977-08-16,JamesJohn19481024,AllenRussell19540109,,,
1977-09-02,JamesJohn19481024,PeplowSteve19490108,,,
1977-09-10,JamesJohn19481024,AllenRussell19540109,,,
1977-09-16,JamesJohn19481024,AllenRussell19540109,,,
1977-09-27,JamesJohn19481024,AllenRussell19540109,,,
1977-09-30,JamesJohn19481024,MooreRonnie19530129,,,
1977-10-08,JamesJohn19481024,PeplowSteve19490108,,,
1977-10-25,JamesJohn19481024,AllenRussell19540109,,,
1977-10-28,JamesJohn19481024,FloodEddie19521119,,,
1977-11-05,JamesJohn19481024,MooreRonnie19530129,,,
1977-11-12,JamesJohn19481024,ParryLes19531113,,,
1977-11-19,JamesJohn19481024,AllenRussell19540109,,,
1977-11-26,JamesJohn19481024,MathiasRay19461213,,,
1977-11-29,BramhallJohn19561120,PaliosMark19521109,,,
1977-12-02,JamesJohn19481024,AllenRussell19540109,,,
1977-12-10,JamesJohn19481024,PeplowSteve19490108,,,
1978-01-06,CliffEddie19510930,PeplowSteve19490108,,,
1978-01-17,CliffEddie19510930,TynanBobby19551207,,,
1978-02-03,BramhallJohn19561120,PhilpottsDave19540331,,,
1978-03-06,BramhallJohn19561120,ParryLes19531113,,,
1978-03-14,JamesJohn19481024,PeplowSteve19490108,,,
1978-03-18,PhilpottsDave19540331,ParryLes19531113,,,
1978-03-31,BramhallJohn19561120,CliffEddie19510930,,,
1978-04-11,CliffEddie19510930,PaliosMark19521109,,,
1978-04-22,PeplowSteve19490108,CravenSteve19570917,,,
1978-08-12,KerrJohn19591123,PeplowSteve19490108,,,
1978-08-16,KerrJohn19591123,PaliosMark19521109,,,
1978-08-19,KerrJohn19591123,PaliosMark19521109,,,
1978-08-21,KerrJohn19591123,ONeilTommy19521025,,,
1978-08-26,CliffEddie19510930,CravenSteve19570917,,,
1978-09-25,PostlewhiteDennis19571013,MathiasRay19461213,,,
1978-09-30,PeplowSteve19490108,CravenSteve19570917,,,
1978-10-16,PaliosMark19521109,FloodEddie19521119,,,
1978-11-10,PaliosMark19521109,BramhallJohn19561120,,,
1978-11-18,McAuleyHughie19530108,FloodEddie19521119,,,
1978-12-09,CravenSteve19570917,McAuleyHughie19530108,,,
1978-12-19,PostlewhiteDennis19571013,McAuleyHughie19530108,,,
1979-02-03,McAuleyHughie19530108,PeplowSteve19490108,,,
1979-02-10,KerrJohn19591123,BramhallJohn19561120,,,
1979-03-03,PeplowSteve19490108,McAuleyHughie19530108,,,
1979-03-16,PaliosMark19521109,PeplowSteve19490108,,,
1979-03-26,PeplowSteve19490108,CravenSteve19570917,,,
1979-03-30,ThomasJohn19580805,CravenSteve19570917,,,
1979-04-03,CravenSteve19570917,ParryLes19531113,,,
1979-04-14,CravenSteve19570917,BramhallJohn19561120,,,
1979-04-18,PeplowSteve19490108,ONeilTommy19521025,,,
1979-04-27,PeplowSteve19490108,CravenSteve19570917,,,
1979-04-30,CravenSteve19570917,ThomasJohn19580805,,,
1979-05-04,WhittinghamSteve19620204,GriffithsIan19600417,,,
1979-08-15,PostlewhiteDennis19571013,KerrJohn19591123,,,
1979-08-29,PostlewhiteDennis19571013,KerrJohn19591123,,,
1979-09-04,PaliosMark19521109,KerrJohn19591123,,,
1979-09-17,KellyJohn19601020,PeplowSteve19490108,,,
1979-09-22,KellyJohn19601020,LumbyJim19541002,,,
1979-09-28,WilliamsJohn19601003,PaliosMark19521109,,,
1979-10-08,KellyJohn19601020,KerrJohn19591123,,,
1979-10-13,KellyJohn19601020,KerrJohn19591123,,,
1979-10-19,KellyJohn19601020,LumbyJim19541002,,,
1979-10-26,KellyJohn19601020,LumbyJim19541002,,,
1979-11-12,LumbyJim19541002,KerrJohn19591123,,,
1979-11-17,MungallSteve19580522,PeplowSteve19490108,,,
1979-11-24,MungallSteve19580522,FloodEddie19521119,,,
1979-11-30,MungallSteve19580522,ParryLes19531113,,,
1979-12-15,CravenSteve19570917,FloodEddie19521119,,,
1979-12-18,KerrJohn19591123,KellyJohn19601020,,,
1979-12-21,MungallSteve19580522,BeamishKenny19470825,,,
1979-12-26,MungallSteve19580522,LumbyJim19541002,,,
1980-01-05,MungallSteve19580522,BeamishKenny19470825,,,
1980-01-11,KerrJohn19591123,KellyJohn19601020,,,
1980-01-25,MathiasRay19461213,PeplowSteve19490108,,,
1980-02-09,MathiasRay19461213,PeplowSteve19490108,,,
1980-02-16,MathiasRay19461213,BeamishKenny19470825,,,
1980-02-22,MathiasRay19461213,PeplowSteve19490108,,,
1980-03-04,LumbyJim19541002,KellyJohn19601020,,,
1980-03-10,KerrJohn19591123,PeplowSteve19490108,,,
1980-03-25,LumbyJim19541002,KerrJohn19591123,,,
1980-04-05,KellyJohn19601020,KerrJohn19591123,,,
1980-04-07,KerrJohn19591123,BeamishKenny19470825,,,
1980-04-11,CravenSteve19570917,KerrJohn19591123,,,
1980-05-02,PeplowSteve19490108,GriffithsIan19600417,,,
1980-08-09,MungallSteve19580522,EdwardsElfyn19600504,,,
1980-08-12,WilliamsJohn19601003,LumbyJim19541002,,,
1980-08-16,WilliamsJohn19601003,CravenSteve19570917,,,
1980-08-18,EvansClive19570501,PeplowSteve19490108,,,
1980-08-20,KerrJohn19591123,CravenSteve19570917,,,
1980-09-05,WilliamsJohn19601003,KerrJohn19591123,,,
1980-09-13,FloodEddie19521119,KerrJohn19591123,,,
1980-09-19,GriffithsIan19600417,KellyJohn19601020,,,
